,Season,Pos,Age,G,GS,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,Major Injury,Minor Injury Count,Previous Major Injury Count
12359,1,3,24,23,0,8.5,0.0,0.0,0.2705882352941176,0.426,0.0941176470588235,0.579,0.1176470588235294,0.1764705882352941,0.0470588235294117,0.0235294117647058,0.0235294117647058,0.0470588235294117,0.1411764705882353,0,3.0,0.0
12362,1,13,25,69,69,33.7,0.1068249258160237,0.423,0.1632047477744806,0.546,0.0712166172106824,0.847,0.0207715133531157,0.0890207715133531,0.0712166172106824,0.0148367952522255,0.0118694362017804,0.029673590504451,0.0652818991097922,0,3.0,0.0
12365,1,13,26,4,0,7.3,0.136986301369863,0.75,0.2465753424657534,0.429,0.0,0.0,0.0,0.0684931506849315,0.0410958904109589,0.0410958904109589,0.0,0.136986301369863,0.136986301369863,1,1.0,0.0
12367,1,0,22,68,4,9.985294117647058,0.1001472754050073,0.353,0.2904270986745214,0.475,0.0500736377025036,0.722,0.0500736377025036,0.1802650957290132,0.0300441826215022,0.0300441826215022,0.0600883652430044,0.0500736377025036,0.2103092783505155,0,0.0,0.0
12370,1,0,22,12,0,4.9,0.0,0.0,0.2653061224489796,0.2,0.0408163265306122,0.0,0.1224489795918367,0.1224489795918367,0.0408163265306122,0.0408163265306122,0.0408163265306122,0.0612244897959183,0.0816326530612244,1,5.0,0.0
12376,1,0,22,18,0,7.9,0.0,0.0,0.1012658227848101,0.533,0.0253164556962025,0.5,0.0886075949367088,0.1518987341772151,0.0253164556962025,0.0379746835443037,0.050632911392405,0.050632911392405,0.2151898734177215,1,2.0,0.0
12380,1,3,25,81,81,39.6,0.0075757575757575,0.174,0.4343434343434343,0.505,0.1388888888888889,0.791,0.0858585858585858,0.1338383838383838,0.053030303030303,0.0252525252525252,0.0303030303030303,0.0479797979797979,0.0681818181818181,0,0.0,0.0
12381,1,3,32,18,0,9.9,0.0,0.0,0.1717171717171717,0.355,0.0101010101010101,0.5,0.0707070707070707,0.1111111111111111,0.0202020202020202,0.0101010101010101,0.0202020202020202,0.0202020202020202,0.1717171717171717,1,4.0,0.0
12386,1,13,35,80,80,36.1,0.1301939058171745,0.444,0.2077562326869806,0.52,0.074792243767313,0.881,0.0166204986149584,0.077562326869806,0.074792243767313,0.0277008310249307,0.0055401662049861,0.0415512465373961,0.0498614958448753,0,0.0,0.0
12387,1,13,29,72,31,20.8,0.0144230769230769,0.174,0.3125,0.527,0.1201923076923076,0.753,0.048076923076923,0.0817307692307692,0.0673076923076923,0.0865384615384615,0.0288461538461538,0.0576923076923076,0.1057692307692307,0,0.0,0.0
12388,1,9,20,81,14,17.9,0.1005586592178771,0.315,0.1787709497206704,0.437,0.0837988826815642,0.773,0.0502793296089385,0.1340782122905028,0.0391061452513966,0.0391061452513966,0.0167597765363128,0.0726256983240223,0.0837988826815642,0,0.0,0.0
12389,1,3,28,46,7,15.0,0.0,0.0,0.2666666666666666,0.454,0.1266666666666666,0.391,0.12,0.1533333333333333,0.0266666666666666,0.02,0.0466666666666666,0.0333333333333333,0.1266666666666666,0,0.0,0.0
