,Player,Year,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Duration,Major Injury,Minor Injury Count,Previous Major Injury Count
12359,Jeff Adrien,2010,1,3,24,GSW,23,0,8.5,0.11764705882352941,0.27058823529411763,0.426,0.0,0.0,0.0,0.11764705882352941,0.27058823529411763,0.426,0.426,0.058823529411764705,0.09411764705882353,0.579,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.047058823529411764,0.023529411764705882,0.023529411764705882,0.047058823529411764,0.1411764705882353,0.29411764705882354,2.0,0,3.0,0.0
12362,Arron Afflalo,2010,1,13,25,DEN,69,69,33.7,0.13353115727002965,0.2700296735905044,0.498,0.044510385756676554,0.10682492581602374,0.423,0.08902077151335311,0.16320474777448069,0.546,0.581,0.05934718100890207,0.07121661721068248,0.847,0.020771513353115723,0.08902077151335311,0.10682492581602374,0.07121661721068248,0.014836795252225518,0.011869436201780416,0.029673590504451036,0.06528189910979229,0.37388724035608306,6.0,0,3.0,0.0
12365,Maurice Ager,2010,1,13,26,MIN,4,0,7.3,0.20547945205479454,0.3835616438356164,0.545,0.10958904109589042,0.136986301369863,0.75,0.10958904109589042,0.24657534246575344,0.429,0.682,0.0,0.0,0.0,0.0,0.0684931506849315,0.0684931506849315,0.0410958904109589,0.0410958904109589,0.0,0.136986301369863,0.136986301369863,0.5205479452054794,7.0,1,1.0,0.0
12367,Alexis Ajinça,2010,1,0,22,TOT,68,4,9.985294117647058,0.17025036818851252,0.3905743740795287,0.444,0.04005891016200295,0.10014727540500737,0.353,0.1402061855670103,0.2904270986745214,0.475,0.489,0.04005891016200295,0.050073637702503684,0.722,0.050073637702503684,0.18026509572901328,0.23033873343151695,0.03004418262150221,0.03004418262150221,0.06008836524300442,0.050073637702503684,0.2103092783505155,0.420618556701031,0.0,0,0.0,0.0
12370,Solomon Alabi,2010,1,0,22,TOR,12,0,4.9,0.06122448979591836,0.2653061224489796,0.2,0.0,0.0,0.0,0.06122448979591836,0.2653061224489796,0.2,0.2,0.0,0.04081632653061224,0.0,0.12244897959183672,0.12244897959183672,0.24489795918367344,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.06122448979591836,0.08163265306122448,0.1020408163265306,16.0,1,5.0,0.0
12376,Cole Aldrich,2010,1,0,22,OKC,18,0,7.9,0.05063291139240506,0.10126582278481013,0.533,0.0,0.0,0.0,0.05063291139240506,0.10126582278481013,0.533,0.533,0.012658227848101266,0.02531645569620253,0.5,0.08860759493670885,0.15189873417721517,0.24050632911392403,0.02531645569620253,0.03797468354430379,0.05063291139240506,0.05063291139240506,0.2151898734177215,0.12658227848101264,30.0,1,2.0,0.0
12380,LaMarcus Aldridge,2010,1,3,25,POR,81,81,39.6,0.21969696969696967,0.4419191919191919,0.5,0.0,0.007575757575757575,0.174,0.21969696969696967,0.4343434343434343,0.505,0.501,0.10858585858585858,0.1388888888888889,0.791,0.08585858585858586,0.13383838383838384,0.22222222222222224,0.05303030303030303,0.025252525252525252,0.0303030303030303,0.047979797979797977,0.06818181818181819,0.5505050505050505,0.0,0,0.0,0.0
12381,Malik Allen,2010,1,3,32,ORL,18,0,9.9,0.0606060606060606,0.1717171717171717,0.355,0.0,0.0,0.0,0.0606060606060606,0.1717171717171717,0.355,0.355,0.010101010101010102,0.010101010101010102,0.5,0.0707070707070707,0.11111111111111112,0.18181818181818182,0.020202020202020204,0.010101010101010102,0.020202020202020204,0.020202020202020204,0.1717171717171717,0.13131313131313133,9.0,1,4.0,0.0
12386,Ray Allen*,2010,1,13,35,BOS,80,80,36.1,0.16620498614958448,0.3379501385041551,0.491,0.05817174515235457,0.13019390581717452,0.444,0.10803324099722991,0.2077562326869806,0.52,0.577,0.06648199445983378,0.07479224376731303,0.881,0.016620498614958446,0.07756232686980609,0.09418282548476453,0.07479224376731303,0.027700831024930747,0.00554016620498615,0.04155124653739612,0.04986149584487535,0.4570637119113573,0.0,0,0.0,0.0
12387,Tony Allen,2010,1,13,29,MEM,72,31,20.8,0.16826923076923075,0.3269230769230769,0.51,0.004807692307692308,0.014423076923076922,0.174,0.16346153846153846,0.3125,0.527,0.514,0.09134615384615384,0.12019230769230768,0.753,0.04807692307692307,0.08173076923076923,0.12980769230769232,0.0673076923076923,0.08653846153846154,0.028846153846153844,0.05769230769230769,0.10576923076923077,0.42788461538461536,0.0,0,0.0,0.0
