,Date,Team,Acquired,Relinquished,Notes,Duration,Season
0,2010-10-26,Blazers,2010-11-02,Elliot Williams,placed on IL,7.0,2010
1,2010-10-26,Blazers,season,Greg Oden,placed on IL with left knee injury (out for season),100.0,2010
5,2010-10-26,Celtics,2010-10-29,Luke Harangody,placed on IL,3.0,2010
6,2010-10-26,Heat,2011-04-01,Dexter Pittman,placed on IL,157.0,2010
7,2010-10-26,Heat,2010-10-27,Jerry Stackhouse,placed on IL,1.0,2010
10,2010-10-26,Lakers,2010-11-05,Luke Walton,placed on IL with strained right hamstring,10.0,2010
11,2010-10-26,Rockets,2010-10-27,Jermaine Taylor,placed on IL,1.0,2010
12,2010-10-26,Rockets,2010-10-30,Kyle Lowry,placed on IL with back spasms,4.0,2010
13,2010-10-26,Rockets,season,Patrick Patterson,placed on IL,100.0,2010
14,2010-10-26,Suns,2010-11-15,Gani Lawal,placed on IL,20.0,2010
15,2010-10-26,Suns,season,Matt Janning,placed on IL,100.0,2010
16,2010-10-27,76ers,2010-11-10,Craig Brackins,placed on IL,14.0,2010
17,2010-10-27,76ers,2010-11-07,Jodie Meeks,placed on IL,11.0,2010
18,2010-10-27,Bobcats,2010-11-20,Dominic McGuire,placed on IL with stress fracture in left shin,24.0,2010
19,2010-10-27,Bobcats,2010-11-13,Eduardo Najera,placed on IL with sports hernia,17.0,2010
20,2010-10-27,Bobcats,2010-11-15,Kwame Brown,placed on IL with sprained left ankle,19.0,2010
21,2010-10-27,Bucks,2010-11-27,Chris Douglas-Roberts,placed on IL with right eye injury,31.0,2010
23,2010-10-27,Bulls,2010-12-01,Carlos Boozer,placed on IL with fractured bone in right pinky finger,35.0,2010
24,2010-10-27,Cavaliers,2011-01-02,Christian Eyenga,placed on IL,67.0,2010
25,2010-10-27,Cavaliers,2010-11-02,Maurice Williams / Mo Williams,placed on IL with groin injury,6.0,2010
26,2010-10-27,Cavaliers,2010-10-29,Samardo Samuels,placed on IL,2.0,2010
27,2010-10-27,Clippers,2010-10-31,Craig Smith,placed on IL with back injury,4.0,2010
28,2010-10-27,Clippers,2010-11-01,Willie Warren,placed on IL,5.0,2010
30,2010-10-27,Grizzlies,2010-10-29,Marc Gasol,placed on IL with sprained right ankle / left ankle,2.0,2010
31,2010-10-27,Hawks,2010-10-29,Etan Thomas,placed on IL,2.0,2010
32,2010-10-27,Hawks,2011-03-12,Pape Sy,placed on IL with strained lower back,136.0,2010
33,2010-10-27,Heat,2010-10-29,Jamaal Magloire,placed on IL,2.0,2010
34,2010-10-27,Hornets,2010-11-22,Aaron Gray,placed on IL,26.0,2010
35,2010-10-27,Hornets,season,Joe Alexander,placed on IL,100.0,2010
36,2010-10-27,Hornets,2010-11-03,Quincy Pondexter,placed on IL,7.0,2010
38,2010-10-27,Kings,2010-10-29,Antoine Wright,placed on IL,2.0,2010
39,2010-10-27,Kings,2010-10-29,Samuel Dalembert,placed on IL with strained left abductor,2.0,2010
40,2010-10-27,Knicks,2010-11-04,Anthony Randolph,placed on IL with sprained left ankle,8.0,2010
41,2010-10-27,Knicks,season,Eddy Curry,placed on IL with strained right hamstring,100.0,2010
43,2010-10-27,Mavericks,2010-11-26,Alexis Ajinca / Alex Ajinca,placed on IL,30.0,2010
44,2010-10-27,Mavericks,2011-02-16,Rodrigue Beaubois,placed on IL with fractured left foot,112.0,2010
45,2010-10-27,Mavericks,2010-11-10,Steve Novak,placed on IL,14.0,2010
46,2010-10-27,Nets,2010-11-10,Ben Uzoh,placed on IL,14.0,2010
47,2010-10-27,Nets,2010-11-03,Quinton Ross,placed on IL,7.0,2010
48,2010-10-27,Nets,2010-11-03,Troy Murphy,placed on IL with strained lower back,7.0,2010
51,2010-10-27,Pacers,2010-11-16,A.J. Price,placed on IL,20.0,2010
52,2010-10-27,Pacers,2010-10-30,Dahntay Jones,placed on IL,3.0,2010
53,2010-10-27,Pacers,2011-01-07,Lance Stephenson,placed on IL,72.0,2010
54,2010-10-27,Pistons,2010-11-14,Chris Wilcox,placed on IL with sore left hamstring,18.0,2010
58,2010-10-27,Raptors,2010-10-29,Marcus Banks,placed on IL,2.0,2010
59,2010-10-27,Raptors,2010-11-12,Solomon Alabi,placed on IL,16.0,2010
60,2010-10-27,Rockets,2010-10-30,Yao Ming,placed on IL,3.0,2010
61,2010-10-27,Spurs,2010-10-30,Alonzo Gee,placed on IL,3.0,2010
62,2010-10-27,Spurs,2010-11-01,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC),5.0,2010
63,2010-10-27,Thunder,2010-11-12,Byron Mullens / B.J. Mullens,placed on IL,16.0,2010
64,2010-10-27,Thunder,2010-11-07,Morris Peterson,placed on IL,11.0,2010
65,2010-10-27,Thunder,2010-11-14,Nick Collison,placed on IL with stress reaction in lower left leg,18.0,2010
68,2010-10-27,Timberwolves,2010-11-03,Maurice Ager,placed on IL with bruised left quadriceps,7.0,2010
70,2010-10-27,Warriors,2010-10-29,Jeremy Lin,placed on IL,2.0,2010
72,2010-10-28,Magic,season,Daniel Orton,placed on IL,100.0,2010
73,2010-10-28,Magic,2010-11-06,Malik Allen,placed on IL,9.0,2010
74,2010-10-28,Wizards,2010-11-05,Gilbert Arenas,placed on IL with sprained right ankle,8.0,2010
75,2010-10-28,Wizards,2010-12-18,Josh Howard,placed on IL with torn ACL in left knee,51.0,2010
76,2010-10-28,Wizards,2010-10-30,Kevin Seraphin,placed on IL,2.0,2010
77,2010-10-29,Celtics,2010-11-02,Jermaine O'Neal,placed on IL with left knee injury,4.0,2010
