,Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
0,Atlanta Hawks,2018,1,"Wed, Oct 17, 2018",@,New York Knicks,
1,Atlanta Hawks,2018,2,"Fri, Oct 19, 2018",@,Memphis Grizzlies,
2,Atlanta Hawks,2018,3,"Sun, Oct 21, 2018",@,Cleveland Cavaliers,
3,Atlanta Hawks,2018,4,"Wed, Oct 24, 2018",,Dallas Mavericks,
4,Atlanta Hawks,2018,5,"Sat, Oct 27, 2018",,Chicago Bulls,
5,Atlanta Hawks,2018,6,"Mon, Oct 29, 2018",@,Philadelphia 76ers,
6,Atlanta Hawks,2018,7,"Tue, Oct 30, 2018",@,Cleveland Cavaliers,
7,Atlanta Hawks,2018,8,"Thu, Nov 1, 2018",,Sacramento Kings,
8,Atlanta Hawks,2018,9,"Sat, Nov 3, 2018",,Miami Heat,
9,Atlanta Hawks,2018,10,"Tue, Nov 6, 2018",@,Charlotte Hornets,
10,Atlanta Hawks,2018,11,"Wed, Nov 7, 2018",,New York Knicks,
11,Atlanta Hawks,2018,12,"Fri, Nov 9, 2018",,Detroit Pistons,
12,Atlanta Hawks,2018,13,"Sun, Nov 11, 2018",@,Los Angeles Lakers,
13,Atlanta Hawks,2018,14,"Tue, Nov 13, 2018",@,Golden State Warriors,
14,Atlanta Hawks,2018,15,"Thu, Nov 15, 2018",@,Denver Nuggets,
15,Atlanta Hawks,2018,16,"Sat, Nov 17, 2018",@,Indiana Pacers,
16,Atlanta Hawks,2018,17,"Mon, Nov 19, 2018",,Los Angeles Clippers,
17,Atlanta Hawks,2018,18,"Wed, Nov 21, 2018",,Toronto Raptors,
18,Atlanta Hawks,2018,19,"Fri, Nov 23, 2018",,Boston Celtics,
19,Atlanta Hawks,2018,20,"Sun, Nov 25, 2018",,Charlotte Hornets,
20,Atlanta Hawks,2018,21,"Tue, Nov 27, 2018",@,Miami Heat,
21,Atlanta Hawks,2018,22,"Wed, Nov 28, 2018",@,Charlotte Hornets,
22,Atlanta Hawks,2018,23,"Fri, Nov 30, 2018",@,Oklahoma City Thunder,
23,Atlanta Hawks,2018,24,"Mon, Dec 3, 2018",,Golden State Warriors,
24,Atlanta Hawks,2018,25,"Wed, Dec 5, 2018",,Washington Wizards,
25,Atlanta Hawks,2018,26,"Sat, Dec 8, 2018",,Denver Nuggets,
26,Atlanta Hawks,2018,27,"Wed, Dec 12, 2018",@,Dallas Mavericks,
27,Atlanta Hawks,2018,28,"Fri, Dec 14, 2018",@,Boston Celtics,
28,Atlanta Hawks,2018,29,"Sun, Dec 16, 2018",@,Brooklyn Nets,
29,Atlanta Hawks,2018,30,"Tue, Dec 18, 2018",,Washington Wizards,
30,Atlanta Hawks,2018,31,"Fri, Dec 21, 2018",@,New York Knicks,
31,Atlanta Hawks,2018,32,"Sun, Dec 23, 2018",@,Detroit Pistons,
32,Atlanta Hawks,2018,33,"Wed, Dec 26, 2018",,Indiana Pacers,
33,Atlanta Hawks,2018,34,"Fri, Dec 28, 2018",@,Minnesota Timberwolves,OT
34,Atlanta Hawks,2018,35,"Sat, Dec 29, 2018",,Cleveland Cavaliers,
35,Atlanta Hawks,2018,36,"Mon, Dec 31, 2018",@,Indiana Pacers,
36,Atlanta Hawks,2018,37,"Wed, Jan 2, 2019",@,Washington Wizards,
37,Atlanta Hawks,2018,38,"Fri, Jan 4, 2019",@,Milwaukee Bucks,
38,Atlanta Hawks,2018,39,"Sun, Jan 6, 2019",,Miami Heat,
39,Atlanta Hawks,2018,40,"Tue, Jan 8, 2019",@,Toronto Raptors,
40,Atlanta Hawks,2018,41,"Wed, Jan 9, 2019",@,Brooklyn Nets,
41,Atlanta Hawks,2018,42,"Fri, Jan 11, 2019",@,Philadelphia 76ers,
42,Atlanta Hawks,2018,43,"Sun, Jan 13, 2019",,Milwaukee Bucks,
43,Atlanta Hawks,2018,44,"Tue, Jan 15, 2019",,Oklahoma City Thunder,
44,Atlanta Hawks,2018,45,"Sat, Jan 19, 2019",,Boston Celtics,
45,Atlanta Hawks,2018,46,"Mon, Jan 21, 2019",,Orlando Magic,
46,Atlanta Hawks,2018,47,"Wed, Jan 23, 2019",@,Chicago Bulls,
47,Atlanta Hawks,2018,48,"Sat, Jan 26, 2019",@,Portland Trail Blazers,
48,Atlanta Hawks,2018,49,"Mon, Jan 28, 2019",@,Los Angeles Clippers,
49,Atlanta Hawks,2018,50,"Wed, Jan 30, 2019",@,Sacramento Kings,
50,Atlanta Hawks,2018,51,"Fri, Feb 1, 2019",@,Utah Jazz,
51,Atlanta Hawks,2018,52,"Sat, Feb 2, 2019",@,Phoenix Suns,
52,Atlanta Hawks,2018,53,"Mon, Feb 4, 2019",@,Washington Wizards,
53,Atlanta Hawks,2018,54,"Thu, Feb 7, 2019",,Toronto Raptors,
54,Atlanta Hawks,2018,55,"Sat, Feb 9, 2019",,Charlotte Hornets,
55,Atlanta Hawks,2018,56,"Sun, Feb 10, 2019",,Orlando Magic,
56,Atlanta Hawks,2018,57,"Tue, Feb 12, 2019",,Los Angeles Lakers,
57,Atlanta Hawks,2018,58,"Thu, Feb 14, 2019",,New York Knicks,
58,Atlanta Hawks,2018,59,"Fri, Feb 22, 2019",,Detroit Pistons,
59,Atlanta Hawks,2018,60,"Sat, Feb 23, 2019",,Phoenix Suns,
60,Atlanta Hawks,2018,61,"Mon, Feb 25, 2019",@,Houston Rockets,
61,Atlanta Hawks,2018,62,"Wed, Feb 27, 2019",,Minnesota Timberwolves,OT
62,Atlanta Hawks,2018,63,"Fri, Mar 1, 2019",,Chicago Bulls,4OT
63,Atlanta Hawks,2018,64,"Sun, Mar 3, 2019",@,Chicago Bulls,
64,Atlanta Hawks,2018,65,"Mon, Mar 4, 2019",@,Miami Heat,
65,Atlanta Hawks,2018,66,"Wed, Mar 6, 2019",,San Antonio Spurs,
66,Atlanta Hawks,2018,67,"Sat, Mar 9, 2019",,Brooklyn Nets,
67,Atlanta Hawks,2018,68,"Sun, Mar 10, 2019",,New Orleans Pelicans,
68,Atlanta Hawks,2018,69,"Wed, Mar 13, 2019",,Memphis Grizzlies,
