,Date,Team,Acquired,Relinquished,Notes
0,2019-10-01,Wizards,,John Wall (Hildred),placed on IL recovering from torn left Achilles tendon (out for season)
1,2019-10-21,Raptors,,Patrick McCaw,placed on IL with sore left knee
2,2019-10-21,Raptors,,Rondae Hollis-Jefferson,placed on IL with left groin injury
3,2019-10-22,Clippers,,Paul George,placed on IL with right shoulder injury
4,2019-10-22,Clippers,,Rodney McGruder,placed on IL with sprained right ankle
5,2019-10-22,Lakers,,DeMarcus Cousins,placed on IL recovering from surery on left knee to repair torn ACL
6,2019-10-22,Lakers,,Kyle Kuzma,placed on IL with stress reaction in left ankle/foot
7,2019-10-22,Lakers,,Rajon Rondo,placed on IL with right calf injury
8,2019-10-22,Pelicans,,Zion Williamson,placed on IL recovering from surgery on right knee to repair torn meniscus
9,2019-10-22,Suns,,Cameron Johnson,placed on IL with left calf injury
10,2019-10-23,76ers,,Zhaire Smith,placed on IL
11,2019-10-23,Blazers,,Jusuf Nurkic,placed on IL
12,2019-10-23,Blazers,,Pau Gasol,placed on IL with left foot injury
13,2019-10-23,Bulls,,Adam Mokoka,placed on IL
14,2019-10-23,Bulls,,Chandler Hutchison,placed on IL with strained left hamstring
15,2019-10-23,Bulls,,Cristiano Felicio,placed on IL
16,2019-10-23,Bulls,,Max Strus,placed on IL
17,2019-10-23,Cavaliers,,Ante Zizic,placed on IL with left foot injury
18,2019-10-23,Cavaliers,,John Henson,placed on IL with sprained right ankle
19,2019-10-23,Celtics,,Romeo Langford,placed on IL with sore right knee
20,2019-10-23,Grizzlies,,Andre Iguodala,placed on IL
21,2019-10-23,Heat,,Dion Waiters,placed on IL
22,2019-10-23,Heat,,James Johnson,placed on IL for conditioning
23,2019-10-23,Heat,,Udonis Haslem,placed on IL with sprained left wrist (DTD)
24,2019-10-23,Jazz,,Dante Exum,placed on IL with right knee injury
25,2019-10-23,Kings,,Harry Giles,placed on IL with sore left knee
26,2019-10-23,Knicks,,Kadeem Allen,placed on IL with sore right knee
27,2019-10-23,Knicks,,Mitchell Robinson,placed on IL with sprained right ankle
28,2019-10-23,Knicks,,Reggie Bullock,placed on IL with surgery on neck
29,2019-10-23,Mavericks,,Dwight Powell,placed on IL with strained left hamstring
30,2019-10-23,Mavericks,,Ryan Broekhoff,placed on IL with sprained right ankle
31,2019-10-23,Nets,,Nicolas Claxton,placed on IL
32,2019-10-23,Nuggets,,Bol Bol,placed on IL with left foot injury
