,Date,Team,Acquired,Relinquished,Notes
0,2019-09-28,Cavaliers,,Dylan Windler,stress reaction in left leg (out for season)
1,2019-10-11,Bucks,,Eric Bledsoe,rib injury (out indefinitely)
2,2019-10-13,Rockets,,Gerald Green (b. 1986-01-26),left foot injury (out indefinitely)
3,2019-10-17,Cavaliers,,Ante Zizic,left foot injury (out indefinitely)
4,2019-10-18,Pelicans,,Zion Williamson,torn meniscus in right knee (out indefinitely)
5,2019-10-21,Clippers,,Amir Coffey,sprained right ankle (DTD)
6,2019-10-21,Clippers,,Rodney McGruder,sprained right ankle (DTD)
7,2019-10-21,Lakers,,Kyle Kuzma,stress reaction in left ankle/foot (out indefinitely)
8,2019-10-21,Pelicans,,Darius Miller,torn right Achilles tendon (out for season)
9,2019-10-21,Pelicans,,Zion Williamson,surgery on right knee to repair torn meniscus (out indefinitely)
10,2019-10-22,Blazers,,Pau Gasol,left foot injury (DTD)
11,2019-10-22,Bulls,,Chandler Hutchison,strained left hamstring (DTD)
12,2019-10-22,Celtics,,Romeo Langford,sore right knee (DTD)
13,2019-10-22,Celtics,,Tacko Fall,concussion (DTD)
14,2019-10-22,Grizzlies,,Andre Iguodala,player not with team (out indefinitely)
15,2019-10-22,Grizzlies,,Josh Jackson,player not with team (out indefinitely)
16,2019-10-22,Heat,,Udonis Haslem,sprained left wrist (DTD)
17,2019-10-22,Jazz,,Dante Exum,right knee injury (DTD)
18,2019-10-22,Kings,,Harry Giles,sore left knee (DTD)
19,2019-10-22,Knicks,,Kadeem Allen,sore right knee (DTD)
20,2019-10-22,Mavericks,,Dwight Powell,strained left hamstring (DTD)
21,2019-10-22,Pistons,,Blake Griffin,left hamstring injury (out indefinitely)
22,2019-10-22,Pistons,,Sekou Doumbouya,concussion (DTD)
23,2019-10-22,Suns,,Ty Jerome,sprained right ankle (out indefinitely)
24,2019-10-22,Thunder,,Andre Roberson,left knee injury (out indefinitely)
25,2019-10-22,Wizards,,C.J. Miles,left foot injury (DTD)
26,2019-10-22,Wizards,,Troy Brown Jr.,strained left calf (DTD)
27,2019-10-23,Bulls,,Shaquille Harrison,strained left hamstring (DTD)
28,2019-10-23,Cavaliers,,Alfonzo McKinnie,"placed on IL, player not with team"
29,2019-10-23,Hawks,,Allen Crabbe,right knee injury (out indefinitely)
30,2019-10-23,Hawks,,Chandler Parsons,knee injury (DTD)
31,2019-10-23,Heat,,Jimmy Butler,personal reasons (DTD)
32,2019-10-23,Rockets,,Michael Frazier II,sprained right ankle (DTD)
33,2019-10-23,Rockets,,Nene / Nene Hilario / Maybyner Hilario,adductor injury (out indefinitely)
34,2019-10-23,Wizards,,Isaiah Thomas,left thumb injury (DTD)
35,2019-10-23,Knicks,,Ivan Rabb,player not with team (DTD)
36,2019-10-24,Bucks,Eric Bledsoe,,returned to lineup
37,2019-10-24,Celtics,,Enes Kanter,bruised left knee (DTD)
38,2019-10-24,Hawks,,Tyrone Wallace,player not with team (DTD)
39,2019-10-24,Hornets,,Nicolas Batum,fractured finger (DTD)
40,2019-10-24,Kings,,Marvin Bagley III,fractured right thumb (out indefinitely)
41,2019-10-24,Warriors,,Alen Smailagic,sprained right ankle (DTD)
42,2019-10-24,Wizards,,Jordan McRae,fractured finger (out indefinitely)
43,2019-10-25,Bulls,Shaquille Harrison,,returned to lineup
44,2019-10-25,Hornets,,Cody Zeller,placed on IL for personal reasons
45,2019-10-25,Knicks,Ivan Rabb,,returned to lineup
46,2019-10-26,Cavaliers,Alfonzo McKinnie,,activated from IL
47,2019-10-26,Hawks,Tyrone Wallace,,returned to lineup
48,2019-10-26,Hornets,Cody Zeller,,activated from IL
49,2019-10-26,Wizards,Isaiah Thomas,,returned to lineup
50,2019-10-27,Cavaliers,,John Henson,strained right hamstring (out indefinitely)
51,2019-10-27,Knicks,,Dennis Smith Jr.,personal reasons (DTD)
52,2019-10-28,Hornets,,Michael Kidd-Gilchrist,migraine headache (DTD)
53,2019-10-28,Knicks,,Dennis Smith Jr.,placed on IL for personal reasons
